WKT,name,description
"LINESTRING (106.690754 10.7833938, 106.6891104 10.7849467)",NKKN,
"LINESTRING (106.6891104 10.7849467, 106.690754 10.7833938, 106.6917987 10.7824649, 106.6929128 10.781477, 106.6939571 10.7804946, 106.6949569 10.7795872, 106.6964805 10.7781986, 106.697996 10.7768149, 106.6990291 10.7758471)",NKKN,
"LINESTRING (106.6948197 10.7814516, 106.6939571 10.7804946, 106.6929156 10.7793831, 106.6917672 10.7781398, 106.6906601 10.7769573, 106.6895407 10.7757477, 106.6882053 10.7742829)",VVT,
"LINESTRING (106.6973448 10.779168, 106.6964805 10.7781986)",LD,
"LINESTRING (106.6964805 10.7781986, 106.6973448 10.779168)",LD,
"LINESTRING (106.6970421 10.7757631, 106.6981354 10.7748571)",NTT,
"LINESTRING (106.6981354 10.7748571, 106.6970421 10.7757631)",NTT,
"LINESTRING (106.6930191 10.7774977, 106.6960781 10.7747567)",HTCC,
"LINESTRING (106.6954558 10.7728152, 106.6944721 10.7736168, 106.6916172 10.7760202, 106.6906601 10.7769573, 106.6895504 10.7779202, 106.688347 10.7790192, 106.6872569 10.7800645, 106.6863034 10.7806732, 106.6853848 10.7812634, 106.683602 10.7824952)",TD,
"LINESTRING (106.6828599 10.7809253, 106.6842808 10.7800695, 106.685162 10.7795558, 106.6860728 10.7789471, 106.6872203 10.7778838, 106.688454 10.7767546, 106.6895407 10.7757477, 106.6905301 10.7748378)",BHTQ,
"LINESTRING (106.6861138 10.77678, 106.684891 10.7778456, 106.683957 10.7783459, 106.6830846 10.7788893, 106.6821346 10.7794107)",NT,
"LINESTRING (106.6821346 10.7794107, 106.6830846 10.7788893, 106.683957 10.7783459, 106.684891 10.7778456, 106.6861138 10.77678)",NT,
"LINESTRING (106.6880527 10.783869, 106.6888093 10.7831215, 106.6896413 10.7823729, 106.6907078 10.7813803, 106.6918261 10.7803444, 106.6929156 10.7793831)",LQD,
"LINESTRING (106.6938679 10.7784747, 106.6929156 10.7793831, 106.6918261 10.7803444, 106.6907078 10.7813803, 106.6896413 10.7823729, 106.6888093 10.7831215, 106.6880527 10.783869)",LQD,
"LINESTRING (106.6917672 10.7781398, 106.6906857 10.7791408, 106.6895186 10.7801914, 106.6884447 10.7812392, 106.6876472 10.7819598, 106.6868386 10.782702, 106.6844795 10.784357)",TQT,
"LINESTRING (106.6844795 10.784357, 106.6868386 10.782702, 106.6876472 10.7819598, 106.6884447 10.7812392, 106.6895186 10.7801914, 106.6906857 10.7791408, 106.6917672 10.7781398)",TQT,
"POINT (106.6952984 10.7770133)",DDL,
"LINESTRING (106.6964805 10.7781986, 106.6952984 10.7770133)",DDL,
"POINT (106.6603422 10.7722869)",THT,
"POINT (106.6796514 10.7750794)",3/2,
"POINT (106.6672861 10.7756988)",SVH,
"POINT (106.6771568 10.771153)",DBP,
